experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
7cbca32d76cb94b01c732987,c3-spearman-n100,reference,[],A,B,8000,0,0,8000,6.9665,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,49.245125,49.206125,2.478125,2.4345,0,0,0,0,0,0,0,0,0,0,0,0.04912625,0,0,0,0,0,0.001625,87.413875,0,4.374125,0,0,0,0,0,0,0,0,0,0,0,0.04374125
7cbca32d76cb94b01c732987,c3-spearman-n100,reference,[],B,A,8000,0,0,8000,6.975625,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,0.002125,87.474375,0.000125,4.341125,0,0,0,0,0,0,0,0,0,0,0,0.0434125,0,0,0,0,0,49.3865,49.071625,2.489,2.452,0,0,0,0,0,0,0,0,0,0,0,0.04941
f72c7d3278acbdf6cc0b8e88,c3-spearman-n100,reference,"{""defense"":""1""}",A,B,8000,3862,0,4138,14.716,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,37.169125,62.701625,1.8795,3.125625,0,0,0,0,0,0,0,0,0,0,0,0.05005125,0,0,0,0,0,37.12725,62.749,1.87175,3.154125,0,0,0,0,0,0,0,0,0,0,0,0.05025875
f72c7d3278acbdf6cc0b8e88,c3-spearman-n100,reference,"{""defense"":""1""}",B,A,8000,3919,0,4081,14.716,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,37.169125,62.701625,1.8795,3.125625,0,0,0,0,0,0,0,0,0,0,0,0.05005125,0,0,0,0,0,37.12725,62.749,1.87175,3.154125,0,0,0,0,0,0,0,0,0,0,0,0.05025875
