experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
7b9f91b54c3f019cffba5099,c1-archer-n100,reference,[],A,B,8000,7999,0,1,2.036375,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2.49825,97.50175,0.12675,4.870625,0,0,0,0,0,0,0.04997375,0,0,0,0,0,0,0,0,0,0,58.962125,41.037875,2.9655,2.04525,0,0,0,0,0,0,0.0501075
7b9f91b54c3f019cffba5099,c1-archer-n100,reference,[],B,A,8000,7997,0,3,2.03675,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,59.250625,40.749375,2.97175,2.041375,0,0,0,0,0,0,0.05013125,0,0,0,0,0,0,0,0,0,0,2.4995,97.5005,0.123375,4.864,0,0,0,0,0,0,0.04987375
908d0045111799bcef061319,c1-spearman-n100,reference,[],A,B,8000,0,0,8000,6.9665,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,49.245125,49.206125,2.478125,2.4345,0,0,0,0,0,0,0,0,0,0,0,0.04912625,0,0,0,0,0,0.001625,87.413875,0,4.374125,0,0,0,0,0,0,0,0,0,0,0,0.04374125
908d0045111799bcef061319,c1-spearman-n100,reference,[],B,A,8000,0,0,8000,6.975625,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,0.002125,87.474375,0.000125,4.341125,0,0,0,0,0,0,0,0,0,0,0,0.0434125,0,0,0,0,0,49.3865,49.071625,2.489,2.452,0,0,0,0,0,0,0,0,0,0,0,0.04941
aa1c981e54380d9949edf44c,c1-archer-n5,reference,[],A,B,8000,6116,0,1884,2.27125,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.553375,3.443125,0.079,0.17825,0,0,0,0,0,0,0.05145,0,0,0,0,0,0,0,0,0,0,3.519,1.478375,0.1835,0.075,0,0,0,0,0,0,0.0517
aa1c981e54380d9949edf44c,c1-archer-n5,reference,[],B,A,8000,6253,0,1747,2.2615,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.5495,1.4485,0.17975,0.07675,0,0,0,0,0,0,0.0513,0,0,0,0,0,0,0,0,0,0,1.476125,3.519125,0.077375,0.17675,0,0,0,0,0,0,0.050825
da81eadf3116e296280daa26,c1-knight-n1,reference,[],A,B,8000,2074,0,5926,1.221375,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74075,0.257875,0.037625,0.012,0,0.049625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754875,0.243625,0.040125,0.012125,0,0.05225
da81eadf3116e296280daa26,c1-knight-n1,reference,[],B,A,8000,1961,0,6039,1.221375,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74075,0.257875,0.037625,0.012,0,0.049625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754875,0.243625,0.040125,0.012125,0,0.05225
