experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
3540d06427756c5afc5d3de5,d5-archer-spearman-small,reference,"{""accuracy"":""0.35"",""spread"":""0.1""}",B,A,2000,796,0,1204,6.194,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.633,3.3125,0.0855,0.153,0,0,0,0,0,0,0.0477,0,0,0,0,0,2.085,2.9135,0.109,0.149,0,0,0,0,0,0,0,0,0,0,0,0.0516
35765d61ded97b2f5482033b,d5-archer-spearman-small,reference,"{""accuracy"":""0.1"",""spread"":""0.1""}",A,B,2000,0,0,2000,3.886,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2.7215,2.0165,0.1395,0.0965,0,0,0,0,0,0,0.0472,0,0,0,0,0,0,2.8985,0,0.1445,0,0,0,0,0,0,0,0,0,0,0,0.0289
35765d61ded97b2f5482033b,d5-archer-spearman-small,reference,"{""accuracy"":""0.1"",""spread"":""0.1""}",B,A,2000,2000,0,0,6.8125,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2.58,2.3745,0.133,0.112,0,0,0,0,0,0,0.049,0,0,0,0,0,0.001,3.2865,0,0.1695,0,0,0,0,0,0,0,0,0,0,0,0.0339
35d8afe9e81ffaac4ad09d0d,d5-archer-spearman-small,reference,"{""accuracy"":""0.35"",""spread"":""0.3""}",A,B,2000,343,0,1657,3.774,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2.455,2.265,0.1295,0.109,0,0,0,0,0,0,0.0477,0,0,0,0,0,0.9695,3.975,0.0505,0.211,0,0,0,0,0,0,0,0,0,0,0,0.0523
35d8afe9e81ffaac4ad09d0d,d5-archer-spearman-small,reference,"{""accuracy"":""0.35"",""spread"":""0.3""}",B,A,2000,840,0,1160,6.119,350,,0,0,0,5,0,350,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.614,3.322,0.084,0.1535,0,0,0,0,0,0,0.0475,0,0,0,0,0,2.056,2.935,0.109,0.15,0,0,0,0,0,0,0,0,0,0,0,0.0518
388310be3812c51953784ca5,d5-archer-spearman-large,reference,"{""accuracy"":""1"",""spread"":""0.1""}",A,B,2000,2000,0,0,2,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0005,0,4.1625,0,0,0,0,0,0,0.041625,0,0,0,0,0,98.474,1.526,4.917,0.0705,0,0,0,0,0,0,0,0,0,0,0,0.049875
388310be3812c51953784ca5,d5-archer-spearman-large,reference,"{""accuracy"":""1"",""spread"":""0.1""}",B,A,2000,0,0,2000,3,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,93.571,0,4.6415,0,0,0,0,0,0,0.046415,0,0,0,0,0,100,0,4.9885,0,0,0,0,0,0,0,0,0,0,0,0,0.049885
42680856741af5e7ab8ef99d,d5-archer-spearman-large,reference,"{""accuracy"":""0.7"",""spread"":""0.3""}",A,B,2000,1995,0,5,2.904,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,19.3295,72.837,0.975,3.6185,0,0,0,0,0,0,0.045935,0,0,0,0,0,90.1015,9.8985,4.502,0.4835,0,0,0,0,0,0,0,0,0,0,0,0.049855
42680856741af5e7ab8ef99d,d5-archer-spearman-large,reference,"{""accuracy"":""0.7"",""spread"":""0.3""}",B,A,2000,0,0,2000,3.7305,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.315,95.7695,0.016,4.7655,0,0,0,0,0,0,0.047815,0,0,0,0,0,88.837,11.163,4.4095,0.58,0,0,0,0,0,0,0,0,0,0,0,0.049895
5cb9d9ed59c0e04cc0b8c341,d5-archer-spearman-large,reference,"{""accuracy"":""0"",""spread"":""0.3""}",A,B,2000,0,0,2000,3.9935,7000,,0,0,0,100,0,7000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,54.3605,43.8295,2.7925,2.156,0,0,0,0,0,0,0.049485,0,0,0,0,0,0,87.7385,0,4.424,0,0,0,0,0,0,0,0,0,0,0,0.04424
