experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate,source_plan,platform,canonical_request_sha256,wilson_attacker_low,wilson_attacker_high
64979c827d00286def32ac0c,mono-b12000-knight-knight,reference,"{""value"":825}",A,B,2000,871,0,1129,1.0655,17325,,0,0,0,0,21,17325,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.595,9.405,0.5795,0.451,0,0.049071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.589,9.411,0.585,0.48,0,0.050714285714286,vps/M-unit-knight-cost-fixed-counts,vps,50c756c29cc1197bda0eb0076e11431d76b022b6c4f4d00f5a5b7a45fc76ce15,0.41391416513447,0.45733313396481
64979c827d00286def32ac0c,mono-b12000-knight-knight,reference,"{""value"":825}",B,A,2000,869,0,1131,1.0655,17325,,0,0,0,0,21,17325,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.595,9.405,0.5795,0.451,0,0.049071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.589,9.411,0.585,0.48,0,0.050714285714286,vps/M-unit-knight-cost-fixed-counts,vps,5a015f7236a54a1e00b6a05ae2dfc983eb2768103e5eda0bd87e2c1ade04e820,0.41292181173319,0.45632932146066
6a97f87180c924e339d64778,mono-b360000-knight-knight,reference,"{""value"":413}",A,B,2000,986,0,1014,1,270102,,0,0,0,0,654,270102,,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.812,326.188,16.5005,16.2685,0,0.050105504587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.23,326.77,16.295,16.392,0,0.049980122324159,vps/M-unit-knight-cost-fixed-counts,vps,936f97c2ae85965ec19859bdc4aace054a07534ddb5768b8074b3a16d81ddfbb,0.47112351149482,0.51490332716711
6a97f87180c924e339d64778,mono-b360000-knight-knight,reference,"{""value"":413}",B,A,2000,997,0,1003,1,270102,,0,0,0,0,654,270102,,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.812,326.188,16.5005,16.2685,0,0.050105504587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.23,326.77,16.295,16.392,0,0.049980122324159,vps/M-unit-knight-cost-fixed-counts,vps,d263360a2dd9926962e58caa9794bbf1a8c06bb710543882525423802983b07f,0.47661092464768,0.52039482649417
6aee5ba4cebd035270c43536,mono-b360000-soldier-knight,reference,[],A,B,2000,0,0,2000,6,360000,,0,36000,0,0,0,359700,,0,0,0,0,654,13734.0145,0,687.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019087388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881,653.119,0.0525,32.7335,0,0.050131498470948,vps/M-unit-knight-cost-fixed-counts,vps,4970d1f6b5265fad201517f3825ff40d79aa8b20306bc545f88c8e11a313708e,1.0842021724855E-19,0.0019170472812529
6aee5ba4cebd035270c43536,mono-b360000-soldier-knight,reference,[],B,A,2000,2000,0,0,6,360000,,0,36000,0,0,0,359700,,0,0,0,0,654,13734.0145,0,687.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019087388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881,653.119,0.0525,32.7335,0,0.050131498470948,vps/M-unit-knight-cost-fixed-counts,vps,0243eeadabcc14bc5e95fa1b391f9a0fbfc6c55db116c0e75d961227e7785c42,0.99808295271875,1
73a83abb2a10d47efe0bd64c,mono-b120000-knight-knight,reference,"{""value"":413}",A,B,2000,963,0,1037,1,90034,,0,0,0,0,218,90034,,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.398,108.602,5.4655,5.45,0,0.050071100917431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.7785,109.2215,5.4425,5.45,0,0.049965596330275,vps/M-unit-knight-cost-fixed-counts,vps,3b67f3570bc9adb7752d7480e039492a5687ba0879217611254cb5e3a46e8cb1,0.45965837761892,0.50341255313048
73a83abb2a10d47efe0bd64c,mono-b120000-knight-knight,reference,"{""value"":413}",B,A,2000,996,0,1004,1,90034,,0,0,0,0,218,90034,,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.398,108.602,5.4655,5.45,0,0.050071100917431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.7785,109.2215,5.4425,5.45,0,0.049965596330275,vps/M-unit-knight-cost-fixed-counts,vps,071db44c2c55dac3580b64f18b99cc622c80e7c82204dcaa3b964efc5d9af1b2,0.47611195964708,0.51989570854205
7498c9f948922906239ad8d6,mono-b12000-archer-knight,reference,[],A,B,2000,6,0,1994,1.003,11970,,0,0,0,171,0,11550,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,73.7485,0,3.7045,0,0,0,0,0,0,0,0.021663742690058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,20.937,0.005,1.066,0,0.051,vps/M-unit-knight-cost-fixed-counts,vps,35be79c5c128b6e4343bfeefa1db2f2aeb0a0150c17aa99303e7622a603c351b,0.0013756299236301,0.0065299150739353
7498c9f948922906239ad8d6,mono-b12000-archer-knight,reference,[],B,A,2000,1998,0,2,1.003,11970,,0,0,0,171,0,11550,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,73.7485,0,3.7045,0,0,0,0,0,0,0,0.021663742690058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,20.959,0.0045,1.067,0,0.05102380952381,vps/M-unit-knight-cost-fixed-counts,vps,49d4b23c42e173b1bcdc7cd48f22932e3a82504dd30129431f21b83876d94cb2,0.99636106573096,0.99972572108235
