comparison_id,source_plan,comparison_type,scenario_id,composition_id,axis_paths_json,axes_json,reference_experiment_id,variant_experiment_id,direction,attacker,defender,reference_request_sha256,variant_request_sha256,base_seed,repetitions,weather_A,weather_B,modifiers_A_json,modifiers_B_json,reference_budget_A,variant_budget_A,reference_target_budget_A,variant_target_budget_A,reference_remainder_A,variant_remainder_A,reference_A_initial_soldier,variant_A_initial_soldier,reference_A_initial_spearman,variant_A_initial_spearman,reference_A_initial_archer,variant_A_initial_archer,reference_A_initial_knight,variant_A_initial_knight,reference_budget_B,variant_budget_B,reference_target_budget_B,variant_target_budget_B,reference_remainder_B,variant_remainder_B,reference_B_initial_soldier,variant_B_initial_soldier,reference_B_initial_spearman,variant_B_initial_spearman,reference_B_initial_archer,variant_B_initial_archer,reference_B_initial_knight,variant_B_initial_knight,reference_attacker_wins,variant_attacker_wins,delta_attacker_wins,reference_draws,variant_draws,delta_draws,reference_attacker_losses,variant_attacker_losses,delta_attacker_losses,reference_mean_rounds,variant_mean_rounds,delta_mean_rounds,reference_attacker_win_rate,variant_attacker_win_rate,delta_attacker_win_rate,reference_A_raw_dead,variant_A_raw_dead,delta_A_raw_dead,reference_A_raw_wounded,variant_A_raw_wounded,delta_A_raw_wounded,reference_A_projected_dead,variant_A_projected_dead,delta_A_projected_dead,reference_A_projected_wounded,variant_A_projected_wounded,delta_A_projected_wounded,reference_A_projected_prisoners,variant_A_projected_prisoners,delta_A_projected_prisoners,reference_A_bench_economic_loss_rate,variant_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate,reference_B_raw_dead,variant_B_raw_dead,delta_B_raw_dead,reference_B_raw_wounded,variant_B_raw_wounded,delta_B_raw_wounded,reference_B_projected_dead,variant_B_projected_dead,delta_B_projected_dead,reference_B_projected_wounded,variant_B_projected_wounded,delta_B_projected_wounded,reference_B_projected_prisoners,variant_B_projected_prisoners,delta_B_projected_prisoners,reference_B_bench_economic_loss_rate,variant_B_bench_economic_loss_rate,delta_B_bench_economic_loss_rate
c71d267975d1057c99b489ff,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-archer-b12000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0""}",8e11b7edbf2ac0e0d70b0158,31428e213ae38c964a0afff3,B-A,B,A,83f73d7fc6a90f07ae5cf83ea44c1a2775a06c4032a62ac65faaebfa47737480,a138c5bbc5dd10c7bc854c0800646af8741e54efca0133c5b76b3f96dd870221,42,2000,thunderstorm,neutral,[],[],11970,11970,,,0,0,0,0,0,0,171,171,0,0,11970,11970,,,0,0,0,0,0,0,171,171,0,0,2000,2000,0,0,0,0,0,0,0,2.0075,2.0075,0,1,1,0,97.39,97.39,0,73.61,73.61,0,4.896,4.896,0,3.67,3.67,0,0,0,0,0.050093567251462,0.050093567251462,0,0.8195,0,-0.8195,170.1805,0,-170.1805,0.0385,0,-0.0385,8.557,0,-8.557,0,0,0,0.050266081871345,0,-0.050266081871345
e4ab7d4b351f309fcf746ccb,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-spearman-b120000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0""}",1f973b9c502488223bf771d1,34a1ab206b45ebc5934e41b9,A-B,A,B,c6f61a79c1ebaafb0c5174adb71d5bf33fe49e0014d8a12821dc4ec75b8ed616,a0f2517e4fdb064dde602d5233e185d439b2e26d23b8c7f6f7f5d4f798d84764,42,2000,thunderstorm,neutral,[],[],119980,119980,,,0,0,0,0,0,0,1714,1714,0,0,119980,119980,,,0,0,0,0,1714,1714,0,0,0,0,0,0,0,0,0,0,2000,2000,0,4,4,0,0,0,0,936.7225,936.7225,0,751.3315,751.3315,0,46.9355,46.9355,0,37.5385,37.5385,0,0,0,0,0.04928471411902,0.04928471411902,0,0,0,0,1714,0,-1714,0,0,0,85.7125,0,-85.7125,0,0,0,0.050007292882147,0,-0.050007292882147
fcb43e2a6336e48072b80993,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-spearman-b120000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0""}",1f973b9c502488223bf771d1,34a1ab206b45ebc5934e41b9,B-A,B,A,6c6709c74bbb9a7afc146a0863776dbf36df478cbb9bf4f0d2a02f1c9d1fbc55,7af9bb35deb0a6dcd2b916782a0f82a66503049e9a50fe78a5a2ad6699848ef9,42,2000,thunderstorm,neutral,[],[],119980,119980,,,0,0,0,0,0,0,1714,1714,0,0,119980,119980,,,0,0,0,0,1714,1714,0,0,0,0,0,2000,2000,0,0,0,2000,0,-2000,7,7,0,0,1,1,788.567,851.5815,63.0145,923.32,860.839,-62.481,39.5,42.636,3.136,46.099,42.991,-3.108,0,0,0,0.049941073512252,0.049957409568261,1.6336056009335E-5,1119.2835,0,-1119.2835,594.7165,0,-594.7165,56.2255,0,-56.2255,29.738,0,-29.738,0,0,0,0.050153733955659,0,-0.050153733955659
a400569008fabdaed8f5d65b,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-spearman-b12000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.5""}",944f62c89c0c5114e22c969a,372333eb77ede9c8d1cfb181,A-B,A,B,715dbb6c482585fde7359a2226e885620e02d9f643daeade5bc37b1a058a10c3,b54da28c8694588e60e7fd206fc12253a03c5b42711dd6f6eca5db481b58a44a,42,2000,thunderstorm,neutral,[],[],11970,11970,,,0,0,0,0,0,0,171,171,0,0,11970,11970,,,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,2000,2000,0,4.0005,4.0005,0,0,0,0,93.5225,93.5225,0,74.645,74.645,0,4.7065,4.7065,0,3.709,3.709,0,0,0,0,0.049213450292398,0.049213450292398,0,0.0845,0,-0.0845,170.9155,170.803,-0.11250000000001,0.003,0,-0.003,8.5665,8.556,-0.0105,0,0,0,0.050114035087719,0.050035087719298,-7.8947368421053E-5
6c76a83ceef6c8e03191d0e1,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-spearman-b12000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.5""}",944f62c89c0c5114e22c969a,372333eb77ede9c8d1cfb181,B-A,B,A,05668ece2bf168d7e9ce617d3086445f0551a3f840cce8c695caec8dc3cb33a2,5184b8b4822cdc0519289277013588ffc302c89eb2b24dd699cdfbe6b2aa604f,42,2000,thunderstorm,neutral,[],[],11970,11970,,,0,0,0,0,0,0,171,171,0,0,11970,11970,,,0,0,0,0,171,171,0,0,0,0,203,2000,1797,0,0,0,1797,0,-1797,6.972,6.9825,0.0105,0.1015,1,0.8985,77.6065,84.219,6.6125,93.048,86.493,-6.555,3.9015,4.2335,0.332,4.6255,4.282,-0.3435,0,0,0,0.049865497076023,0.049798245614035,-6.7251461988299E-5,111.0755,0,-111.0755,59.9245,170.995,111.0705,5.5625,0,-5.5625,3.051,8.569,5.518,0,0,0,0.05037134502924,0.050111111111111,-0.00026023391812866
d9d0e8b6bf36acfa780a862d,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-soldier-b360000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.75""}",02930829fb448ff8da4c4e8e,38bacec58b7b88c329d9b434,A-B,A,B,5b1428c9297444f17a9ad49f561a9b20401c897c591fece49735ce7e33177cf2,efea97d92ae915d99757a8501c510f5639f1183ca858cdbe306956804a6062aa,42,2000,thunderstorm,neutral,[],[],359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,360000,360000,,,0,0,36000,36000,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,5,8,3,1,1,0,0,847.5285,847.5285,4812.221,4277.1925,-535.0285,0,42.3975,42.3975,240.676,213.8865,-26.7895,0,0,0,0.046805912096461,0.049841306884481,0.0030353947880202,15751.34,13591.113,-2160.227,13492.402,19591.302,6098.9,787.8335,679.765,-108.0685,512.834,744.4845,231.6505,161.4275,234.5595,73.132,0.036129652777778,0.039562486111111,0.0034328333333333
d9abfa505c642d0492fd76dc,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-soldier-b360000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.75""}",02930829fb448ff8da4c4e8e,38bacec58b7b88c329d9b434,B-A,B,A,3cbce7b2e6caa3382b138879a2c7d8da0260547409d8dcf39e22c219d83fdd98,5ef5a1cb062e185b854e5eb7198961c8eda8acf9bb70f9c39f389b442a28d067,42,2000,thunderstorm,neutral,[],[],359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,360000,360000,,,0,0,36000,36000,0,0,0,0,0,0,0,2000,2000,0,0,0,2000,0,-2000,8,9,1,0,1,1,847.5285,2511.5695,1664.041,4277.1925,2628.307,-1648.8855,42.3975,125.764,83.3665,213.8865,131.444,-82.4425,0,0,0,0.049841306884481,0.050021003500583,0.00017969661610269,13591.113,5784.446,-7806.667,19591.302,27431.895,7840.593,679.765,289.234,-390.531,744.4845,1371.5715,627.087,234.5595,0,-234.5595,0.039562486111111,0.046133486111111,0.006571
56859f060bc1250a5fa3e73f,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-knight-b360000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.875""}",f0d1bed084e4046e39dbaf8b,3fa720ed4addc54013fe80f6,A-B,A,B,28c8b9dd53377cb2ef4662107b0101cba6809d2ea953d6c70567553b46757399,7e8967be8f19f5e9ad90d78a15118644e757c4eead95947a8ef65eea3f140946,42,2000,thunderstorm,neutral,[],[],359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,359700,359700,,,0,0,0,0,0,0,0,0,654,654,0,0,0,0,0,0,2000,2000,0,1,1,0,0,0,0,2289.009,2289.009,0,0,0,0,114.6525,114.6525,0,0,0,0,0,0,0,0.022297257876313,0.022297257876313,0,0,0,0,654,654,0,0,0,0,32.754,32.754,0,0,0,0,0.050082568807339,0.050082568807339,0
275a89345d1fca6087c280c1,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-knight-b360000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.875""}",f0d1bed084e4046e39dbaf8b,3fa720ed4addc54013fe80f6,B-A,B,A,3ff254117ef650e2952f2a1d4954e54c3543e73f3896580e61264e2bf5b1d5bb,d3735d98879d731617ff19893b9b19b71b5f3ebc28627993cbecbd4837d7734f,42,2000,thunderstorm,neutral,[],[],359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,359700,359700,,,0,0,0,0,0,0,0,0,654,654,2000,2000,0,0,0,0,0,0,0,1,1,0,1,1,0,2289.009,2289.009,0,0,0,0,114.6525,114.6525,0,0,0,0,0,0,0,0.022297257876313,0.022297257876313,0,0,0,0,654,654,0,0,0,0,32.754,32.754,0,0,0,0,0.050082568807339,0.050082568807339,0
c102aa7f69bb1b6f929832bf,vps/W-factor-thunderstorm-archer-attack,axis,wfactor-thunderstorm-archer-attack-archer-b360000,reference,"{""value"":""weather.thunderstorm.archer.attack""}","{""value"":""0.75""}",71e6df1bef50fa2aef58ce75,415aa49bb55eb5584404be37,A-B,A,B,113aafe4019242a9ce29d06748429a56861e0750511db1077f809bb4b71c970d,62519006da501d78603f2f2b010f8ec987401c8d18329d7f1113702545e605e4,42,2000,thunderstorm,neutral,[],[],359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,359940,359940,,,0,0,0,0,0,0,5142,5142,0,0,2000,997,-1003,0,0,0,0,1003,1003,2,3,1,1,0.4985,-0.5015,0,4947.0685,4947.0685,5142,194.9315,-4947.0685,0,247.5105,247.5105,257.1565,9.7315,-247.425,0,0,0,0.050010987942435,0.05002761571373,1.6627771295213E-5,2891.326,4945.137,2053.811,2250.674,196.863,-2053.811,144.8205,247.5035,102.683,112.508,9.9125,-102.5955,0,0,0,0.050044437961883,0.050061454686892,1.7016725009721E-5
