experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate,source_plan,platform,canonical_request_sha256,wilson_attacker_low,wilson_attacker_high
2ce851910ac66482b9b371f3,x-archer-cut-00-b12000-vs-balanced,reference,[],B,A,2000,401,0,1599,6.2965,11780,12000,220,720,34,0,4,11630,,0,300,42,42,5,240.1755,282.717,12.024,13.4625,0.697,0.434,10.918,0.0215,0.5595,0,0,0,0,0,0,0.001,0.6785,0,0.0305,0,0.026511884550085,136.2785,123.766,6.727,4.979,1.169,1.698,17.404,0.0815,0.8925,0,11.971,16.145,0.5785,0.8045,0,0.004,1.7675,0.0005,0.085,0,0.02829535683577,vps/X-archer-cut,vps,da8c36c48d034b8d26d42c79e461ee0f4a581ac8fc1f357a321900524acdb38f,0.18353471853619,0.21861359278528
2f7900b1272805e429c8f1d6,x-archer-cut-01-b120000-vs-soldier,reference,[],A,B,2000,2000,0,0,14.0035,119560,120000,440,6000,342,171,43,120000,,0,12000,0,0,0,1116.0745,4397.4865,55.909,220.3945,0,0,63.7245,0,3.205,0,0.609,118.452,0.035,5.925,0,0,0.186,0,0.0035,0,0.028492054198729,4344.645,5509.2925,217.1605,209.436,65.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035549708333333,vps/X-archer-cut,vps,7fc8967b63df65f4ed9c09e8c7b916814209c9fd07b115172e405b54e37e99ae,0.99808295271875,1
2f7900b1272805e429c8f1d6,x-archer-cut-01-b120000-vs-soldier,reference,[],B,A,2000,0,0,2000,13,119560,120000,440,6000,342,171,43,120000,,0,12000,0,0,0,874.562,4522.75,43.754,226.565,0,0,49.901,0,2.525,0,0.32,110.2835,0.018,5.5255,0,0,0.103,0,0.0015,0,0.027340331214453,4430.9485,5193.2525,221.5675,197.5245,61.9115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034924333333333,vps/X-archer-cut,vps,4859b39e18c183208dda70ec6223401c64bb64719eaaa7e99e746b90805dc1cb,1.0842021724855E-19,0.0019170472812529
2f84ac42c5c4564f0e13035b,x-archer-cut-01-b120000-vs-spearman,reference,[],A,B,2000,2000,0,0,8,119560,120000,440,6000,342,171,43,119980,,0,0,1714,0,0,2242.941,2266.443,112.293,113.6145,0,1.29,126.4635,0.066,6.341,0,20.924,107.8785,1.0625,5.402,0,0.004,16.118,0,0.7785,0,0.030012169621947,0,0,0,0,0,742.3055,918.268,37.2455,45.8915,0,0,0,0,0,0,0,0,0,0,0,0.048504667444574,vps/X-archer-cut,vps,703d2f770a4186ac07081550dd3a898a150e5bad63b747000aa9696dce902129,0.99808295271875,1
2f84ac42c5c4564f0e13035b,x-archer-cut-01-b120000-vs-spearman,reference,[],B,A,2000,0,0,2000,7.003,119560,120000,440,6000,342,171,43,119980,,0,0,1714,0,0,411.1675,3598.4055,20.599,180.318,0,0,23.28,0,1.187,0,0.183,114.3555,0.011,5.7135,0,0,2.979,0,0.1465,0,0.021525175644028,0,0,0,0,0,657.159,982.8745,33.0475,49.093,0,0,0,0,0,0,0,0,0,0,0,0.047923278879813,vps/X-archer-cut,vps,2138925843eaf3946938dcbff75d74969152f960fb80faff23e69a392f85fe3b,1.0842021724855E-19,0.0019170472812529
30bfdb5345f843251c96a8b2,x-archer-cut-00-b120000-vs-spearman,reference,[],A,B,2000,989,0,1011,9.1885,119590,120000,410,7200,342,0,43,119980,,0,0,1714,0,0,2742.4185,2681.74,137.2585,118.101,16.24,1.6855,128.74,0.083,6.465,0,0,0,0,0,0,0.005,16.3045,0,0.7925,0,0.028830420603729,0,0,0,0,0,623.8445,987.947,31.346,49.5125,0,0,0,0,0,0,0,0,0,0,0,0.047175320886814,vps/X-archer-cut,vps,ad6926dd540b1982b58bca8d6223ea4ee4dc7844c36a3a29bc6cc69288fdb8f5,0.47261981648104,0.51640127103905
30bfdb5345f843251c96a8b2,x-archer-cut-00-b120000-vs-spearman,reference,[],B,A,2000,0,0,2000,8,119590,120000,410,7200,342,0,43,119980,,0,0,1714,0,0,488.998,4251.565,24.423,213.0575,0,0,23.258,0,1.1835,0,0,0,0,0,0,0,2.92,0,0.1395,0,0.021192198344343,0,0,0,0,0,667.884,937.3275,33.561,46.7565,0,0,0,0,0,0,0,0,0,0,0,0.046859684947491,vps/X-archer-cut,vps,4a99e9f4b8f052afc12fe38cc3098d1b1e4d8c065814172fe19c0a8fbab1810f,1.0842021724855E-19,0.0019170472812529
31a14b4455bcc1474dc33211,x-archer-cut-02-b360000-vs-spearman,reference,[],A,B,2000,2000,0,0,7,359420,360000,580,14400,1028,1028,130,359940,,0,0,5142,0,0,5665.259,5416.7635,283.603,271.331,0,3.688,400.831,0.1865,19.948,0,133.513,657.693,6.6105,32.8795,0,0.005,51.171,0,2.502,0,0.030880738411886,0,0,0,0,0,2286.9875,2767.6225,114.5915,138.5915,0,0,0,0,0,0,0,0,0,0,0,0.049238234150136,vps/X-archer-cut,vps,bb018d56a77a392516f18c5ca5584795595f2f6229261f3eeec5c6634064dcea,0.99808295271875,1
31a14b4455bcc1474dc33211,x-archer-cut-02-b360000-vs-spearman,reference,[],B,A,2000,0,0,2000,7,359420,360000,580,14400,1028,1028,130,359940,,0,0,5142,0,0,1440.4225,9052.253,72.1555,453.22,0,0,102.7795,0,5.1445,0,2.2205,746.7995,0.1205,37.293,0,0,13.01,0,0.621,0,0.023856115408158,0,0,0,0,0,2449.0905,2627.2125,122.74,131.4885,0,0,0,0,0,0,0,0,0,0,0,0.049441559704395,vps/X-archer-cut,vps,ae17ff444ae1f61f8b5c7717969a927e38280ee27b130be3cbf860dadbaaea9d,1.0842021724855E-19,0.0019170472812529
3486dc6e75cd56f2d2c90b25,x-archer-cut-01-b120000-vs-balanced,reference,[],A,B,2000,1973,0,27,6,119560,120000,440,6000,342,171,43,119620,,0,3000,428,428,54,2166.0005,2504.3375,108.454,125.125,0.4015,7.285,116.3395,0.3835,5.8445,0,36.83,85.9955,1.8925,4.292,0,0.011,10.865,0.001,0.5315,0,0.029253429240549,1433.9615,1240.5115,71.688,47.3175,14.523,15.5405,189.008,0.777,9.4555,0,117.4795,212.3075,5.973,10.659,0,0.024,15.7895,0.001,0.81,0,0.029398261160341,vps/X-archer-cut,vps,bb7d661a8825399b43bf12f0c611998e51b6d6da461acf2ccfd44cbbfa4ca0a8,0.980429206993,0.99070550600234
