family,group,target_budget,opponent,direction,from_level,to_level,from_experiment_id,to_experiment_id,samples_per_point,from_A_win_rate,to_A_win_rate,delta_A_win_rate,from_mean_rounds,to_mean_rounds,delta_mean_rounds,from_budget_A,to_budget_A,delta_budget_A,from_budget_B,to_budget_B,delta_budget_B,from_A_raw_dead,to_A_raw_dead,delta_A_raw_dead,from_A_raw_wounded,to_A_raw_wounded,delta_A_raw_wounded,from_B_raw_dead,to_B_raw_dead,delta_B_raw_dead,from_B_raw_wounded,to_B_raw_wounded,delta_B_raw_wounded,from_A_bench_economic_loss_rate,to_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate
E-add,archer,12000,knight,A-B,10,20,c80a11b505c6347ef64f5dfe,6148edd04297948bf65b5caa,2000,1,1,0,1.998,1.9975,-0.00049999999999994,13170,14370,1200,11550,11550,0,146.536,145.684,-0.852,0,0,0,20.975,20.968,-0.0070000000000014,0.025,0.032,0.007,0.025356112376614,0.017869519832985,-0.007486592543629
E-add,archer,12000,knight,A-B,20,35,6148edd04297948bf65b5caa,c95a73a7f4f1df13ca6de8ab,2000,1,1,0,1.9975,1.995,-0.0024999999999999,14370,16170,1800,11550,11550,0,145.684,145.5625,-0.1215,0,0,0,20.968,20.9485,-0.019500000000001,0.032,0.0515,0.0195,0.017869519832985,0.012589672232529,-0.005279847600456
E-add,archer,12000,knight,A-B,35,50,c95a73a7f4f1df13ca6de8ab,b805b071539555b260a8ece6,2000,1,1,0,1.995,1.988,-0.0070000000000001,16170,17970,1800,11550,11550,0,145.5625,144.1505,-1.412,0,0,0,20.9485,20.8575,-0.090999999999998,0.0515,0.1425,0.091,0.012589672232529,0.0094660545353367,-0.0031236176971923
E-add,archer,12000,knight,A-B,50,100,b805b071539555b260a8ece6,2bead3499c37037dd6768c7c,2000,1,1,0,1.988,1.476,-0.512,17970,23970,6000,11550,11550,0,144.1505,104.016,-40.1345,0,0,0,20.8575,17.6985,-3.159,0.1425,3.3015,3.159,0.0094660545353367,0.0037603254067584,-0.0057057291285783
E-add,archer,12000,knight,B-A,0,5,a336234b2bd2ac61331e39d4,c36b8bb70dada1335e255c57,2000,0.001,0.5575,0.5565,1.003,1.939,0.936,11970,12570,600,11550,11550,0,73.7485,142.3135,68.565,0,0,0,0.041,13.15,13.109,20.959,7.85,-13.109,0.021663742690058,0.0309184566428,0.009254713952742
E-add,archer,12000,knight,B-A,5,10,c36b8bb70dada1335e255c57,c80a11b505c6347ef64f5dfe,2000,0.5575,0.951,0.3935,1.939,2,0.061,12570,13170,600,11550,11550,0,142.3135,146.8385,4.525,0,0,0,13.15,18.586,5.436,7.85,2.414,-5.436,0.0309184566428,0.025395975702354,-0.005522480940446
E-add,archer,12000,knight,B-A,10,20,c80a11b505c6347ef64f5dfe,6148edd04297948bf65b5caa,2000,0.951,1,0.049,2,2,0,13170,14370,1200,11550,11550,0,146.8385,146.8745,0.036000000000001,0,0,0,18.586,20.955,2.369,2.414,0.045,-2.369,0.025395975702354,0.017987821851079,-0.007408153851275
E-add,archer,12000,knight,B-A,20,35,6148edd04297948bf65b5caa,c95a73a7f4f1df13ca6de8ab,2000,1,1,0,2,2,0,14370,16170,1800,11550,11550,0,146.8745,146.8325,-0.04200000000003,0,0,0,20.955,21,0.045000000000002,0.045,0,-0.045,0.017987821851079,0.012702226345083,-0.005285595505996
E-add,archer,12000,knight,B-A,35,50,c95a73a7f4f1df13ca6de8ab,b805b071539555b260a8ece6,2000,1,1,0,2,2,0,16170,17970,1800,11550,11550,0,146.8325,146.7485,-0.083999999999975,0,0,0,21,21,0,0,0,0,0.012702226345083,0.0096410684474124,-0.0030611578976706
E-add,archer,12000,knight,B-A,50,100,b805b071539555b260a8ece6,2bead3499c37037dd6768c7c,2000,1,1,0,2,2,0,17970,23970,6000,11550,11550,0,146.7485,146.748,-0.0005000000000166,0,0,0,21,21,0,0,0,0,0.0096410684474124,0.0054313725490196,-0.0042096958983928
