setting,experiment_id,scenario_id,direction,samples,attacker_wins,win_rate_percent,mean_rounds,A_raw_dead_mean,B_raw_dead_mean,budget_A,budget_B
5%,736ebb0ba37c3998214baab3,mono-b12000-spearman-knight,A-B,2000,1,0.05,2,31.4585,0.02,11970,11550
10%,fc2163e82ebdf856d1cd0444,mono-b12000-spearman-knight,A-B,2000,2,0.1,2.0005,31.479,0.0305,11970,11550
20%,ff97f9e8aada50a805469809,mono-b12000-spearman-knight,A-B,2000,1195,59.75,2.7265,63.994,10.4805,11970,11550
35%,a477667580eb4a6cca4bfd35,mono-b12000-spearman-knight,A-B,2000,1554,77.7,3.002,75.4865,13.732,11970,11550
50%,21486276dd25da30cb327035,mono-b12000-spearman-knight,A-B,2000,1942,97.1,3.269,85.2795,17.5535,11970,11550
75%,26c3765672fcb904b00111a4,mono-b12000-spearman-knight,A-B,2000,2000,100,3.5815,92.0655,20.2375,11970,11550
100%,35f8ece3e5cf5960e89a52ff,mono-b12000-spearman-knight,A-B,2000,2000,100,3.8205,94.0145,21,11970,11550
off,82ec150dd59da2b8c521a956,mono-b12000-spearman-knight,A-B,2000,2000,100,3.8205,94.0145,21,11970,11550
