threshold_percent,experiment_id,scenario_id,direction,samples,attacker_wins,mean_rounds,A_raw_dead_mean,B_raw_dead_mean,A_raw_wounded_mean,B_raw_wounded_mean,A_bench_loss_percent,B_bench_loss_percent
0,b9fb9fe51d62a3ce387959b3,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.542,4.9804093567251,5.0380116959064
1,3d2c27f70a19f71be0f5f5df,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.542,4.9804093567251,5.0380116959064
5,043028cb59fbf362d0e72fcd,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.542,4.9804093567251,5.0380116959064
10,5fd164bd71405bc16f461469,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.542,4.9804093567251,5.0380116959064
20,ac748b9a7bbadd1b4ccb3da4,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.542,4.9804093567251,5.0380116959064
30,33a9e64afa55391d731def4b,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,170.1305,73.541,4.9804093567251,5.0380116959064
50,ee805aab594239d61449fcbe,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,159.1835,73.541,4.662865497076,5.0380116959064
75,16c44c2ef1e9def0417df8bc,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,95.9975,62.716,2.8187134502924,4.7236842105263
100,59e8ad1da844eb9ffa58bc9e,mono-b12000-archer-archer,A-B,2000,2000,2.008,0.8695,97.458,0,0,0.027777777777778,2.8672514619883
